metric,district,school,year,behavior,count,rate,share,enrollment,status_flag
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,Endangering Behavior,2.0,0.58,0.0714,343.0,
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,Weapon Related,0.0,0.0,0.0,343.0,None reported
discipline_incidents,Central City Cyberschool of Milwaukee,Central City Cyberschool,2024-25,Other Violation of School Rules,13.0,3.79,0.4643,343.0,
discipline_incidents,Cudahy,Cudahy High,2018-19,All incidents,106.0,14.36,,738.0,
discipline_incidents,Cudahy,Cudahy High,2018-19,Assault,0.0,0.0,0.0,738.0,None reported
discipline_incidents,Cudahy,Cudahy High,2018-19,Drugs and Alcohol,20.0,2.71,0.1887,738.0,
discipline_incidents,Cudahy,Cudahy High,2018-19,Endangering Behavior,8.0,1.08,0.0755,738.0,
discipline_incidents,Cudahy,Cudahy High,2018-19,Weapon Related,0.0,0.0,0.0,738.0,None reported
discipline_incidents,Cudahy,Cudahy High,2018-19,Other Violation of School Rules,78.0,10.57,0.7358,738.0,
discipline_incidents,Cudahy,Cudahy High,2019-20,All incidents,81.0,11.19,,724.0,
discipline_incidents,Cudahy,Cudahy High,2019-20,Assault,2.0,0.28,0.0247,724.0,
discipline_incidents,Cudahy,Cudahy High,2019-20,Drugs and Alcohol,13.0,1.8,0.1605,724.0,
discipline_incidents,Cudahy,Cudahy High,2019-20,Endangering Behavior,1.0,0.14,0.0123,724.0,
discipline_incidents,Cudahy,Cudahy High,2019-20,Weapon Related,1.0,0.14,0.0123,724.0,
discipline_incidents,Cudahy,Cudahy High,2019-20,Other Violation of School Rules,64.0,8.84,0.7901,724.0,
discipline_incidents,Cudahy,Cudahy High,2020-21,All incidents,9.0,1.31,,687.0,
discipline_incidents,Cudahy,Cudahy High,2020-21,Assault,0.0,0.0,0.0,687.0,None reported
discipline_incidents,Cudahy,Cudahy High,2020-21,Drugs and Alcohol,3.0,0.44,0.3333,687.0,
discipline_incidents,Cudahy,Cudahy High,2020-21,Endangering Behavior,0.0,0.0,0.0,687.0,None reported
discipline_incidents,Cudahy,Cudahy High,2020-21,Weapon Related,0.0,0.0,0.0,687.0,None reported
discipline_incidents,Cudahy,Cudahy High,2020-21,Other Violation of School Rules,6.0,0.87,0.6667,687.0,
discipline_incidents,Cudahy,Cudahy High,2021-22,All incidents,123.0,18.89,,651.0,
discipline_incidents,Cudahy,Cudahy High,2021-22,Assault,1.0,0.15,0.0081,651.0,
discipline_incidents,Cudahy,Cudahy High,2021-22,Drugs and Alcohol,42.0,6.45,0.3415,651.0,
discipline_incidents,Cudahy,Cudahy High,2021-22,Endangering Behavior,3.0,0.46,0.0244,651.0,
discipline_incidents,Cudahy,Cudahy High,2021-22,Weapon Related,1.0,0.15,0.0081,651.0,
discipline_incidents,Cudahy,Cudahy High,2021-22,Other Violation of School Rules,76.0,11.67,0.6179,651.0,
discipline_incidents,Cudahy,Cudahy High,2022-23,All incidents,77.0,11.44,,673.0,
discipline_incidents,Cudahy,Cudahy High,2022-23,Assault,5.0,0.74,0.0649,673.0,
discipline_incidents,Cudahy,Cudahy High,2022-23,Drugs and Alcohol,22.0,3.27,0.2857,673.0,
